Rank,Title,Artist,Year,BPM,Genre,Music Video,Release Season
23,Stitches,Shawn Mendes,2016,150,Pop,1,Spring
24,Hotline Bling,Drake,2016,135,Pop,1,Summer
26,Send My Love,Adele,2016,82,Pop,1,Spring
27,Roses,The Chainsmokers,2016,100,Pop,1,Summer
28,Treat You Better,Shawn Mendes,2016,83,Pop,1,Summer
29,Too Good,Drake,2016,118,Pop,0,Spring
30,Low Life,Future,2016,144,Pop,1,Spring
32,The Hills,The Weeknd,2016,113,Pop,1,Spring
34,Broccoli,DRAM,2016,146,Pop,1,Spring
37,Jumpman,Drake & Future,2016,142,Pop,0,Fall
39,Here,Alessia Cara,2016,120,Pop,1,Spring
40,Same Old Love,Selena Gomez,2016,98,Pop,1,Fall
41,Controlla,Drake,2016,92,Pop,0,Spring
42,Like I'm Gonna Lose You,Meghan Trainor,2016,108,Pop,1,Summer
43,One Call Away,Charlie Puth,2016,91,Pop,1,Summer
44,Let It Go,James Bay,2016,147,Pop,1,Fall
45,No,Meghan Trainor,2016,92,Pop,1,Spring
46,Never Forget You,Zara Larsson,2016,146,Pop,1,Summer
47,Let Me Love You,DJ Snake,2016,100,Pop,1,Summer
48,Don't Mind,Kent Jones,2016,79,Pop,1,Winter
51,Into You,Ariana Grande,2016,108,Pop,1,Spring
52,Gold,Kiiara,2016,113,Pop,1,Fall
53,Exchange,Bryson Tiller,2016,160,Pop,1,Fall
57,2 Phones,Kevin Gates,2016,131,Pop,1,Fall
61,In the Night,The Weeknd,2016,112,Pop,1,Fall
63,Ex's & Oh's,Elle King,2016,140,Pop,1,Fall
64,Die a Happy Man,Thomas Rhett,2016,82,Pop,1,Fall
67,Unsteady,X Ambassadors,2016,103,Pop,1,Fall
68,Sucker for Pain,Lil Wayne,2016,169,Pop,1,Summer
71,Sorry,Beyoncé,2016,130,Pop,1,Spring
72,Can't Feel My Face,The Weeknd,2016,108,Pop,1,Summer
73,Hymn for the Weekend,Coldplay,2016,90,Pop,1,Winter
74,Say It,Tory Lanez,2016,76,Pop,1,Summer
77,Side to Side,Ariana Grande,2016,159,Pop,1,Summer
78,"Sit Still, Look Pretty",Daya,2016,182,Pop,1,Spring
79,Wildest Dreams,Taylor Swift,2016,140,Pop,1,Summer
80,Middle,DJ Snake,2016,105,Pop,1,Fall
81,On My Mind,Ellie Goulding,2016,155,Pop,1,Fall
82,Pop Style,Drake,2016,133,Pop,0,Spring
84,Hide Away,Daya,2016,95,Pop,1,Spring
85,Lean On,Major Lazer,2016,98,Pop,1,Spring
86,I Know What You Did...,Shawn Mendes,2016,114,Pop,1,Fall
87,All the Way Up,Fat Joe,2016,95,Pop,1,Spring
94,Starving,Hailee Steinfeld,2016,100,Pop,1,Summer
95,Adventure of a Lifetime,Coldplay,2016,112,Pop,1,Fall
96,Humble and Kind,Tim McGraw,2016,84,Pop,1,Winter
100,Perfect,One Direction,2016,100,Pop,1,Fall
1,Shape of You,Ed Sheeran,2017,96,Pop,1,Winter
2,Despacito (Remix),Luis Fonsi ft. Daddy Yankee,2017,89,Pop,1,Spring
5,Something Just Like This,The Chainsmokers & Coldplay,2017,103,Pop,1,Winter
7,Closer,The Chainsmokers ft. Halsey,2017,95,Pop,1,Summer
9,Believer,Imagine Dragons,2017,125,Pop,1,Winter
11,Say You Won't Let Go,James Arthur,2017,95,Pop,1,Fall
12,I'm the One,DJ Khaled,2017,162,Pop,1,Spring
17,Stay,Zedd & Alessia Cara,2017,102,Pop,1,Winter
22,Attention,Charlie Puth,2017,100,Pop,1,Spring
23,There's Nothing Holdin' Me Back,Shawn Mendes,2017,122,Pop,1,Spring
26,I Don't Wanna Live Forever,Zayn & Taylor Swift,2017,118,Pop,1,Winter
27,It Ain't Me,Kygo & Selena Gomez,2017,100,Pop,1,Winter
29,Issues,Julia Michaels,2017,114,Pop,1,Winter
30,Scars to Your Beautiful,Alessia Cara,2017,97,Pop,1,Summer
32,Slow Hands,Niall Horan,2017,86,Pop,1,Spring
33,Love on the Brain,Rihanna,2017,85,Pop,0,Fall
36,Strip That Down,Liam Payne,2017,106,Pop,1,Spring
38,Don't Wanna Know,Maroon 5,2017,100,Pop,1,Fall
39,Look What You Made Me Do,Taylor Swift,2017,128,Pop,1,Summer
40,Castle on the Hill,Ed Sheeran,2017,135,Pop,1,Winter
41,Bad Things,MGK & Camila Cabello,2017,138,Pop,1,Fall
42,Paris,The Chainsmokers,2017,100,Pop,1,Winter
43,Side to Side,Ariana Grande,2017,159,Pop,1,Summer
44,Rockabye,Clean Bandit,2017,102,Pop,1,Fall
45,Feel It Still,Portugal. The Man,2017,158,Pop,1,Spring
46,Let Me Love You,DJ Snake,2017,100,Pop,1,Summer
47,Sorry Not Sorry,Demi Lovato,2017,144,Pop,1,Summer
49,Can't Stop the Feeling!,Justin Timberlake,2017,113,Pop,1,Spring
50,Mi Gente,J Balvin ft. Willy William,2017,105,Pop,1,Summer
51,Thunder,Imagine Dragons,2017,84,Pop,1,Spring
54,Mercy,Shawn Mendes,2017,148,Pop,1,Summer
58,Heathens,Twenty One Pilots,2017,90,Pop,1,Summer
59,Now or Never,Halsey,2017,110,Pop,1,Spring
65,Passionfruit,Drake,2017,112,Pop,0,Spring
67,Praying,Kesha,2017,73,Pop,1,Summer
69,Cold,Maroon 5 ft. Future,2017,120,Pop,1,Winter
71,Slide,Calvin Harris,2017,104,Pop,0,Winter
73,Chained to the Rhythm,Katy Perry,2017,190,Pop,1,Winter
74,Feels,Calvin Harris,2017,101,Pop,1,Summer
75,All Time Low,Jon Bellion,2017,144,Pop,1,Spring
77,Too Good at Goodbyes,Sam Smith,2017,91,Pop,1,Fall
82,Starving,Hailee Steinfeld,2017,100,Pop,1,Summer
84,What About Us,P!nk,2017,114,Pop,1,Summer
85,Swalla,Jason Derulo,2017,98,Pop,1,Winter
87,Sign of the Times,Harry Styles,2017,120,Pop,1,Spring
88,Water Under the Bridge,Adele,2017,95,Pop,0,Fall
89,Malibu,Miley Cyrus,2017,140,Pop,1,Spring
90,Down,Marian Hill,2017,85,Pop,1,Spring
91,No Promises,Cheat Codes ft. Demi Lovato,2017,113,Pop,1,Spring
92,Treat You Better,Shawn Mendes,2017,83,Pop,1,Summer
96,Havana,Camila Cabello,2017,105,Pop,1,Summer
97,What Lovers Do,Maroon 5 ft. SZA,2017,110,Pop,1,Summer
98,Do Re Mi,Blackbear,2017,111,Pop,1,Winter
2,Perfect,Ed Sheeran,2018,95,Pop,1,Fall
3,Meant To Be,Bebe Rexha & Florida Georgia Line,2018,154,Pop,1,Fall
4,Havana,Camila Cabello ft. Young Thug,2018,124,Pop,1,Summer
6,Psycho,Post Malone ft. Ty Dolla $ign,2018,140,Pop,1,Winter
7,I Like It,Cardi B & Bad Bunny & J. Balvin,2018,136,Pop,1,Spring
8,The Middle,Zedd & Maren Morris & Grey,2018,107,Pop,1,Winter
9,In My Feelings,Drake,2018,91,Pop,1,Summer
10,Girls Like You,Maroon 5 ft. Cardi B,2018,125,Pop,1,Spring
13,Better Now,Post Malone,2018,145,Pop,1,Spring
14,Finesse,Bruno Mars & Cardi B,2018,105,Pop,1,Winter
16,New Rules,Dua Lipa,2018,116,Pop,1,Summer
18,Never Be The Same,Camila Cabello,2018,130,Pop,1,Winter
19,Love Lies,Khalid & Normani,2018,144,Pop,1,Winter
20,No Tears Left To Cry,Ariana Grande,2018,122,Pop,1,Spring
21,Mine,Bazzi,2018,143,Pop,1,Fall
22,Thunder,Imagine Dragons,2018,84,Pop,1,Spring
24,Delicate,Taylor Swift,2018,95,Pop,1,Spring
26,Friends,Marshmello & Anne-Marie,2018,95,Pop,1,Winter
27,Bad At Love,Halsey,2018,118,Pop,1,Summer
29,Let You Down,NF,2018,148,Pop,1,Fall
33,Feel It Still,Portugal. The Man,2018,158,Pop,1,Spring
35,I Like Me Better,Lauv,2018,92,Pop,1,Spring
36,Youngblood,5 Seconds of Summer,2018,120,Pop,1,Spring
37,Whatever It Takes,Imagine Dragons,2018,135,Pop,1,Spring
40,Pray For Me,The Weeknd & Kendrick Lamar,2018,101,Pop,1,Winter
41,Back To You,Selena Gomez,2018,102,Pop,1,Spring
45,Him & I,G-Eazy & Halsey,2018,88,Pop,1,Winter
46,In My Blood,Shawn Mendes,2018,140,Pop,1,Spring
49,Too Good At Goodbyes,Sam Smith,2018,92,Pop,1,Fall
58,Wait,Maroon 5,2018,125,Pop,1,Winter
60,Wolves,Selena Gomez x Marshmello,2018,125,Pop,1,Fall
62,God Is A Woman,Ariana Grande,2018,145,Pop,1,Summer
64,Sorry Not Sorry,Demi Lovato,2018,144,Pop,1,Summer
65,How Long,Charlie Puth,2018,110,Pop,1,Fall
66,Lights Down Low,MAX ft. gnash,2018,162,Pop,1,Fall
68,One Kiss,Calvin Harris & Dua Lipa,2018,124,Pop,1,Spring
69,Natural,Imagine Dragons,2018,100,Pop,1,Summer
71,Shape Of You,Ed Sheeran,2018,96,Pop,1,Winter
73,No Brainer,DJ Khaled ft. Justin Bieber & Chance The Rapper & Quavo,2018,136,Pop,1,Summer
77,Eastside,benny blanco & Halsey & Khalid,2018,90,Pop,1,Summer
78,Call Out My Name,The Weeknd,2018,134,Pop,1,Spring
80,Happier,Marshmello ft. Bastille,2018,100,Pop,1,Summer
81,Te Bote,"Nio Garcia, Casper Magico & Bad Bunny",2018,96,Pop,1,Spring
84,1-800-273-8255,Logic ft. Alessia Cara & Khalid,2018,100,Pop,1,Spring
85,Say Something,Justin Timberlake ft. Chris Stapleton,2018,97,Pop,1,Winter
89,What Lovers Do,Maroon 5 ft. SZA,2018,110,Pop,1,Summer
90,X,Nicky Jam & J Balvin,2018,90,Pop,1,Spring
93,Dura,Daddy Yankee,2018,95,Pop,1,Winter
98,IDGAF,Dua Lipa,2018,97,Pop,1,Winter
99,Mi Gente,J. Balvin & Willy William,2018,105,Pop,1,Summer
100,Believer,Imagine Dragons,2018,125,Pop,1,Winter
2,Sunflower,Post Malone & Swae Lee,2019,90,Pop,1,Fall
3,Without Me,Halsey,2019,170,Pop,1,Fall
4,Bad Guy,Billie Eilish,2019,135,Pop,1,Spring
6,Happier,Marshmello & Bastille,2019,100,Pop,1,Summer
7,7 Rings,Ariana Grande,2019,70,Pop,1,Winter
10,Sucker,Jonas Brothers,2019,138,Pop,1,Spring
11,High Hopes,Panic! At The Disco,2019,82,Pop,1,Spring
12,Thank U Next,Ariana Grande,2019,107,Pop,1,Fall
13,Truth Hurts,Lizzo,2019,158,Pop,1,Fall
14,Dancing With A Stranger,Sam Smith & Normani,2019,103,Pop,1,Winter
15,Señorita,Shawn Mendes & Camila Cabello,2019,117,Pop,1,Summer
16,I Don't Care,Ed Sheeran & Justin Bieber,2019,102,Pop,1,Spring
17,Eastside,benny blanco Halsey & Khalid,2019,89,Pop,1,Summer
19,Shallow,Lady Gaga & Bradley Cooper,2019,96,Pop,1,Fall
20,Better,Khalid,2019,98,Pop,1,Fall
22,Girls Like You,Maroon 5 ft. Cardi B,2019,125,Pop,1,Spring
23,Sweet But Psycho,Ava Max,2019,133,Pop,1,Summer
27,Someone You Loved,Lewis Capaldi,2019,110,Pop,1,Fall
29,If I Can't Have You,Shawn Mendes,2019,124,Pop,1,Spring
30,Goodbyes,Post Malone ft. Young Thug,2019,150,Pop,1,Summer
32,Better Now,Post Malone,2019,145,Pop,1,Spring
33,Youngblood,5 Seconds Of Summer,2019,120,Pop,1,Spring
36,Break Up With Your Girlfriend I'm Bored,Ariana Grande,2019,170,Pop,1,Winter
37,Please Me,Cardi B & Bruno Mars,2019,134,Pop,1,Winter
39,You Need To Calm Down,Taylor Swift,2019,85,Pop,1,Summer
43,Me!,Taylor Swift ft. Brendon Urie,2019,182,Pop,1,Spring
44,Mia,Bad Bunny ft. Drake,2019,160,Pop,1,Fall
50,Beautiful People,Ed Sheeran ft. Khalid,2019,93,Pop,1,Summer
54,Be Alright,Dean Lewis,2019,126,Pop,1,Summer
57,Taki Taki,DJ Snake ft. Selena Gomez Ozuna & Cardi B,2019,96,Pop,1,Fall
58,Close To Me,Ellie Goulding & Diplo ft. Swae Lee,2019,144,Pop,1,Fall
60,You Say,Lauren Daigle,2019,148,Pop,1,Summer
61,Hey Look Ma I Made It,Panic! At The Disco,2019,107,Pop,1,Summer
62,Circles,Post Malone,2019,120,Pop,1,Summer
65,Con Calma,Daddy Yankee ft. Snow,2019,94,Pop,1,Winter
67,When The Party's Over,Billie Eilish,2019,124,Pop,1,Fall
69,I Like It,Cardi B Bad Bunny & J Balvin,2019,136,Pop,1,Spring
70,Trampoline,SHAED,2019,127,Pop,1,Spring
72,Breathin,Ariana Grande,2019,100,Pop,1,Summer
73,Bury A Friend,Billie Eilish,2019,120,Pop,1,Winter
75,Baby Shark,Pinkfong,2019,115,Pop,1,Summer
78,Only Human,Jonas Brothers,2019,94,Pop,1,Summer
83,How Do You Sleep?,Sam Smith,2019,111,Pop,1,Summer
88,Love Lies,Khalid & Normani,2019,144,Pop,1,Winter
95,Beautiful,Bazzi ft. Camila Cabello,2019,100,Pop,1,Summer
99,Drew Barrymore,Bryce Vine,2019,118,Pop,1,Winter
1,Blinding Lights,The Weeknd,2020,171,Pop,1,Fall
2,Circles,Post Malone,2020,120,Pop,1,Summer
4,Don't Start Now,Dua Lipa,2020,124,Pop,1,Fall
6,Adore You,Harry Styles,2020,99,Pop,1,Winter
8,Memories,Maroon 5,2020,91,Pop,1,Fall
10,Someone You Loved,Lewis Capaldi,2020,110,Pop,1,Fall
11,Say So,Doja Cat,2020,111,Pop,1,Winter
14,Dance Monkey,Tones and I,2020,98,Pop,1,Spring
16,Roxanne,Arizona Zervas,2020,117,Pop,1,Fall
17,Intentions,Justin Bieber featuring Quavo,2020,148,Pop,1,Winter
18,Everything I Wanted,Billie Eilish,2020,120,Pop,1,Fall
19,Roses (Imanbek remix),Saint Jhn,2020,122,Pop,1,Fall
20,Watermelon Sugar,Harry Styles,2020,95,Pop,1,Spring
21,Before You Go,Lewis Capaldi,2020,112,Pop,1,Fall
30,Lose You to Love Me,Selena Gomez,2020,103,Pop,1,Fall
31,Good as Hell,Lizzo,2020,96,Pop,1,Spring
33,Break My Heart,Dua Lipa,2020,113,Pop,1,Spring
35,Savage Love (Laxed – Siren Beat),Jawsh 685 and Jason Derulo,2020,150,Pop,1,Summer
37,My Oh My,Camila Cabello featuring DaBaby,2020,105,Pop,1,Winter
38,Dynamite,BTS,2020,114,Pop,1,Summer
44,Señorita,Shawn Mendes and Camila Cabello,2020,117,Pop,1,Summer
46,Bad Guy,Billie Eilish,2020,135,Pop,1,Spring
47,Mood,24kGoldn featuring Iann Dior,2020,91,Pop,1,Summer
48,Rain on Me,Lady Gaga and Ariana Grande,2020,123,Pop,1,Spring
53,Trampoline,Shaed,2020,127,Pop,1,Spring
54,Come & Go,Juice Wrld and Marshmello,2020,145,Pop,1,Summer
55,Truth Hurts,Lizzo,2020,158,Pop,1,Spring
56,If the World Was Ending,JP Saxe featuring Julia Michaels,2020,76,Pop,1,Fall
58,Yummy,Justin Bieber,2020,146,Pop,1,Winter
61,Sunday Best,Surfaces,2020,112,Pop,1,Summer
67,All I Want for Christmas Is You,Mariah Carey,2020,150,Pop,1,Fall
77,Only Human,Jonas Brothers,2020,94,Pop,1,Summer
80,Stuck with U,Ariana Grande and Justin Bieber,2020,179,Pop,1,Spring
82,You Should Be Sad,Halsey,2020,111,Pop,1,Winter
84,Supalonely,Benee featuring Gus Dapperton,2020,129,Pop,1,Fall
88,Be Like That,"Kane Brown, Swae Lee and Khalid",2020,87,Pop,1,Summer
95,ILY (I Love You Baby),Surf Mesa featuring Emilee,2020,112,Pop,1,Fall
1,Levitating,Dua Lipa,2021,103,Pop,1,Fall
2,Save Your Tears,The Weeknd and Ariana Grande,2021,118,Pop,1,Summer
3,Blinding Lights,The Weeknd,2021,171,Pop,1,Fall
4,Mood,24kGoldn featuring Iann Dior,2021,91,Pop,1,Summer
5,Good 4 U,Olivia Rodrigo,2021,167,Pop,1,Spring
6,Kiss Me More,Doja Cat featuring SZA,2021,111,Pop,1,Spring
8,Drivers License,Olivia Rodrigo,2021,144,Pop,1,Winter
9,Montero (Call Me by Your Name),Lil Nas X,2021,179,Pop,1,Spring
11,Butter,BTS,2021,110,Pop,1,Spring
12,Stay,The Kid Laroi and Justin Bieber,2021,170,Pop,1,Summer
13,Deja Vu,Olivia Rodrigo,2021,181,Pop,1,Spring
14,Positions,Ariana Grande,2021,144,Pop,1,Fall
15,Bad Habits,Ed Sheeran,2021,126,Pop,1,Summer
16,Heat Waves,Glass Animals,2021,81,Pop,1,Summer
17,Without You,The Kid Laroi,2021,93,Pop,1,Winter
21,34+35,Ariana Grande featuring Doja Cat and Megan Thee Stallion,2021,110,Pop,1,Fall
23,My Ex's Best Friend,Machine Gun Kelly featuring Blackbear,2021,125,Pop,1,Summer
25,Therefore I Am,Billie Eilish,2021,94,Pop,1,Fall
28,Dakiti,Bad Bunny and Jhay Cortez,2021,110,Pop,1,Fall
34,Beautiful Mistakes,Maroon 5 featuring Megan Thee Stallion,2021,99,Pop,1,Spring
35,Holy,Justin Bieber featuring Chance the Rapper,2021,87,Pop,1,Fall
37,You Broke Me First,Tate McRae,2021,124,Pop,1,Spring
38,Traitor,Olivia Rodrigo,2021,101,Pop,1,Summer
41,Dynamite,BTS,2021,114,Pop,1,Summer
49,Telepatía,Kali Uchis,2021,84,Pop,1,Fall
55,Willow,Taylor Swift,2021,81,Pop,1,Winter
56,Bang!,AJR,2021,140,Pop,1,Winter
63,Leave Before You Love Me,Marshmello and Jonas Brothers,2021,120,Pop,1,Spring
65,Lonely,Justin Bieber and Benny Blanco,2021,79,Pop,1,Fall
66,Beggin',Måneskin,2021,134,Pop,1,Winter
73,Kings & Queens,Ava Max,2021,130,Pop,1,Spring
74,Anyone,Justin Bieber,2021,116,Pop,1,Winter
78,All I Want for Christmas Is You,Mariah Carey,2021,150,Pop,1,Fall
82,Arcade,Duncan Laurence,2021,72,Pop,1,Spring
83,Yonaguni,Bad Bunny,2021,180,Pop,1,Summer
89,Take My Breath,The Weeknd,2021,121,Pop,1,Summer
90,We're Good,Dua Lipa,2021,134,Pop,1,Winter
92,Rockin' Around the Christmas Tree,Brenda Lee,2021,67,Pop,1,Fall
93,Put Your Records On,Ritt Momney,2021,91,Pop,1,Spring
94,Happier Than Ever,Billie Eilish,2021,81,Pop,1,Summer
100,Todo de Ti,Rauw Alejandro,2021,128,Pop,1,Spring
1,Heat Waves,Glass Animals,2022,81,Pop,1,Summer
2,As It Was,Harry Styles,2022,174,Pop,1,Spring
3,Stay,The Kid Laroi & Justin Bieber,2022,170,Pop,1,Summer
4,Easy on me,Adele,2022,142,Pop,1,Fall
5,Shivers,Ed Sheeran,2022,141,Pop,1,Fall
8,Ghost,Justin Bieber,2022,154,Pop,1,Fall
10,Cold Heart (Pnau Remix),Elton John & Dua Lipa,2022,116,Pop,1,Summer
12,About Damn Time,Lizzo,2022,109,Pop,1,Spring
13,Bad Habits,Ed Sheeran,2022,126,Pop,1,Summer
14,Thats What I want,Lil Nas X,2022,88,Pop,1,Fall
15,Enemy,Imagine Dragons & JID,2022,77,Pop,1,Summer
17,ABCDEFU,Gayle,2022,122,Pop,1,Summer
18,Need to Know,Doja Cat,2022,130,Pop,1,Summer
19,Wasted on You,Morgan Wallen,2022,196,Pop,1,Winter
20,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022,92,Pop,1,Spring
22,Titi Me Pregunto,Bad Bunny,2022,107,Pop,1,Spring
23,Running up That Hill (A Deal with God),Kate Bush,2022,108,Pop,1,Summer
24,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa Rhenzy Feilz,  Diane Guerrero,  Stephanie Betriz & the Encanto Cast",2022,206,Pop,1,Winter
25,Late Night Talking,Harry Styles,2022,115,Pop,1,Spring
26,I Like You (A Happier Song),Post Malone ft. Doja Cat,2022,101,Pop,1,Summer
27,You Proof,Morgan Wallen,2022,120,Pop,1,Spring
29,Sunroof,Nicky Youre & Dazy,2022,131,Pop,1,Winter
30,One Right Now,Post Malone & the Weeknd,2022,97,Pop,1,Fall
31,Good 4 U,Olivia Rodrigo,2022,167,Pop,1,Spring
32,Numb Little Bug,Em Beihold,2022,85,Pop,1,Winter
35,Fancy Like,Walker Hayes,2022,80,Pop,1,Summer
37,I Ain't Worried,One Republic,2022,140,Pop,1,Spring
38,Break My Soul,Beyonce,2022,115,Pop,1,Summer
40,Save Your Tears,The Weeknd & Ariana Grande,2022,118,Pop,1,Spring
42,Levitating,Dua Lipa,2022,103,Pop,1,Spring
44,Moscow Mule,Bad Bunny,2022,100,Pop,1,Spring
47,Vegas,Doja Cat,2022,78,Pop,1,Summer
51,Boyfriend,Dove Cameron,2022,180,Pop,1,Winter
53,Surface Pressure,Jessica Darrow,2022,180,Pop,1,Winter
55,Love Nwanititi (Ah ah Ah),CKay,2022,93,Pop,1,Summer
59,Mamiii,Becky G & Karol G,2022,94,Pop,1,Winter
62,Sweetest Pie,Megan Thee Stalion & Dua Lipa,2022,124,Pop,1,Spring
63,Provenza,Karol G,2022,111,Pop,1,Spring
64,Essence,Wizkid ft. Justin Bieber & Tems,2022,104,Pop,1,Winter
65,All I Want for Christmas Is You,Mariah Carey,2022,150,Pop,1,Fall
66,Bam Bam,Camila Cabello ft. Ed Sheeran,2022,95,Pop,1,Spring
67,5 foot 9,Tyler Hubbard,2022,106,Pop,1,Spring
